符合條件商品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料日期：2026年  6月 24日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
策略,"	.常用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"63	",1416.TW,廣豐,10.8,-0.92,150,0.91,20,18.53,0.03,-0.05,9,0,0,0,0,0,0,0,0,0.44,-0.12,21,61,35,0,0,0,0,0.05,上市其他,應用軟體,"資產股,軟體業,應用軟體",專注金融業應用系統開發,
"64	",1417.TW,嘉裕,8.44,0.84,156,3.2,16,18.99,0.02,-0.23,9,0,0,0,0,0,0,0,0,0.48,-0.16,-3,-10,17,0,0,0,0,0.06,上市紡織纖維,成衣銷售／零售,"成衣,成衣製造,成衣銷售/零售",裕隆集團旗下，台灣知名男性西服供應商,
"65	",1418.TW,東華,18.2,1.11,24,5.28,8,5.68,0.01,-1.55,3,0,0,0,0,0,0,0,0,0.01,-0.07,90,206,-36,0,0,0,0,0.17,上市紡織纖維,亞克力棉,"化學纖維,亞克力棉",台灣老牌的亞克力棉製造商,
"66	",1419.TW,新紡,66.6,0.15,165,1.66,200,30,0.08,-0.06,6,196,3,0,1,0,0,0,0,0,-0.03,-5,2,30,0,0,0,0.17,0.12,上市紡織纖維,織布業,"成衣,成衣銷售/零售,織布業,資產股,地產,物業投資發展",新光集團旗下，平織布生產商，士林三寶之一,
"67	",1423.TW,利華,38.2,-1.04,19,5.05,38,9.96,0.07,-0.38,7,0,0,0,0,0,0,0,0,0.59,0.42,47,18,4,0,-0.1,-0.1,0,0.14,上市紡織纖維,毛紡,"毛紡,紡紗,資產股",台灣第一大的專業毛條生產商,
"68	",1432.TW,大魯閣,15.75,-0.63,459,3.75,14,10.8,0.24,-2.38,1,0,0,0,1,1,0,0,0,-0.03,-0.15,-1,-39,-40,0,0,0,0.13,0.06,上市運動休閒,大型遊樂場,"流通業,百貨業,休閒娛樂,大型遊樂場",經營型娛樂購物中心事業,
"69	",1434.TW,福懋,16.95,2.11,4222,3.85,280,168.47,0.78,0.08,8,47,17,0,1,0,0,0,0,0.13,-0.48,-3,6,-6,0,0.7,0.7,0.17,0.07,上市紡織纖維,尼龍製品,"加油站,其他公用事業,尼龍製品,尼龍塔夫塔布,工業紡織品",台塑集團旗下，台灣知名輪胎簾布製造商,
"70	",1435.TW,中福,18.75,9.97,10,0,24,13.98,0,-0.15,5,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.46,上市其他,物業投資發展,"資產股,地產,物業投資發展",主要從事物業及廠房租賃，並多元發展各種事業,
"71	",1436.TW,華友聯,45.1,-0.55,300,2.19,88,19.42,0.18,-1.15,4,0,0,1,0,0,0,0,0,-0.26,0.47,106,45,-48,0,-0.1,-0.1,0,0.08,上市建材營造,營建,"營建,地產",主打首購族及換屋族市場的建商,
"72	",1437.TW,勤益控,30.05,0,76,1.51,61,20.19,0.05,0.03,6,27,22,0,1,0,0,0,0,0.01,-0.1,8,-1,-9,0,0,0,0.08,0.05,上市其他,物業投資發展,"毛紡,紡紗,控股公司,資產股,地產,物業投資發展",投資控股公司，從事地產、紡織貿易及投資事業,
"73	",1438.TW,三地開發,22.8,7.04,345,4.02,24,11.12,0.01,-0.01,6,6,100,1,0,0,0,0,0,0.04,1.3,-91,0,161966,0,0,0,0,0.22,上市建材營造,營建,"營建,地產",開發以台南及高雄地區為主力的建商,
"74	",1439.TW,雋揚,24.25,0,2,2.26,22,9.2,0.01,-0.17,1,170,1,0,0,0,1,0,0,-0.01,-0.36,111,-38,-42,0,0,0,0,0.11,上市建材營造,營建,"資產股,營建,地產,物業投資發展",國揚集團旗下，著重開發危老及都更計畫,
"75	",1440.TW,南紡,13.3,-0.75,2070,2.22,222,165.68,0.26,-0.18,7,0,0,0,0,0,0,0,0,0.09,-0.25,9,-13,-18,0,-0.2,-0.2,0,0.24,上市紡織纖維,聚酯棉,"化學纖維,聚酯絲,聚酯棉,聚酯粒,化纖原料,棉紡業,紡紗,資產股",台灣最大的聚酯棉與紡紗廠，並經營夢時代購物中心,
"76	",1441.TW,大東,9.15,0.88,29,0.88,6,7.17,0,-0.57,3,0,0,0,0,0,0,0,0,0,-0.13,-29,-1,-18,0,0,0,0,0.1,上市紡織纖維,棉紡業,"織布業,棉紡業,紡紗,資產股",台灣主要棉紡生產企業,
"77	",1442.TW,名軒,27.25,-0.37,151,1.28,100,36.62,0.06,0.12,1,30,3,0,0,0,0,0,0,0.09,-1.01,168,-19,-70,0,0,0,0,0.08,上市建材營造,營建,"營建,地產",麗寶集團旗下成員,
"78	",1443.TW,立益物流,27.1,-0.91,9,1.64,37,13.53,0.01,0.34,8,14,57,0,1,0,0,0,0,0.02,-0.06,-2,-2,-8,0,0,0,0.35,0.09,上市其他,倉儲服務,"流通業,貿易,倉儲服務,運輸事業,物流業",從事物流倉儲服務及經營房地產,
"79	",1444.TW,力麗,6.92,0,1156,2.28,69,99.56,0.1,-0.04,8,0,0,0,1,0,0,0,0,0.05,-0.49,72,81,24,0,0.1,0.1,0.37,0.15,上市紡織纖維,聚酯加工絲,"化學纖維,聚酯加工絲,聚酯粒",台灣聚酯加工絲龍頭廠,
"80	",1445.TW,大宇,10.85,1.88,163,2.8,14,13.07,0.01,-0.5,5,117,4,0,0,0,0,0,0,0,-0.07,132,-12,-24,0,0,0,0,0.16,上市紡織纖維,織布業,"化學纖維,聚酯加工絲,織布業",台灣專業的織布廠,
"81	",1446.TW,宏和,16.65,-0.3,258,1.81,23,13.77,0.06,-0.33,9,15,60,0,1,0,0,0,0,-0.37,-0.1,23,-2,-58,0,0,0,0.13,0.03,上市紡織纖維,織布業,"織布業,資產股,營建,地產",台灣知名的長短纖布廠,
"82	",1447.TW,力鵬,6.19,1.98,1274,3.16,55,91.01,0.11,-0.02,10,31,32,0,0,0,0,0,0,0.13,-0.39,-50,-46,4,0,0,0,0,0.22,上市紡織纖維,尼龍粒,"化學纖維,尼龍粒,織布業",力麗集團旗下，台灣知名尼龍粒大廠,
"83	",1449.TW,佳和,14.95,-0.33,1624,6.62,19,12.71,0.83,-1.96,6,0,0,0,1,0,0,0,0,-0.05,0.18,-25,99,44,0,-0.2,-0.2,0.39,0.22,上市紡織纖維,織布業,"織布業,營建,地產",織布生產商，產品為先染及長纖織物,
"84	",1451.TW,年興,17.05,1.49,427,0.6,33,19.8,0.02,0.15,9,13,69,0,0,0,0,0,0,-0.01,-0.15,2,-19,1,0,0,0,0,0.03,上市紡織纖維,成衣製造,"成衣,成衣製造,織布業",全球最大的牛仔成衣廠,
"85	",1452.TW,宏益,11,0.46,60,1.37,15,13.26,0.01,-0.14,9,0,0,0,0,0,0,0,0,0.12,-0.12,-18,15,2,0,0,0,0,0.05,上市紡織纖維,聚酯加工絲,"化學纖維,聚酯加工絲",台灣專業的加工絲一貫廠,
"86	",1453.TW,大將,11.6,0.43,31,0.86,13,11.32,0.01,-0.13,3,0,0,0,0,0,0,0,0,-0.35,-0.26,-1,1,1,0,0,0,0,0.09,上市建材營造,營建,"營建,地產",主要經營營建開發及紡織買賣,
"87	",1454.TW,台富,12.8,-0.78,54,1.54,17,12.98,0,-0.4,2,0,0,0,0,0,0,0,0,-0.03,-0.08,2,8,-20,0,0,0,0,0.13,上市紡織纖維,織布業,"化學纖維,聚酯加工絲,織布業",台灣加工絲、織布一貫廠,
"88	",1455.TW,集盛,9.55,1.6,645,4.41,50,53.17,0.19,-0.13,8,0,0,0,1,0,0,0,0,-0.01,-0.61,-9,-5,-21,0,0.1,0.1,0.32,0.1,上市紡織纖維,尼龍粒,"化學纖維,尼龍粒,尼龍加工絲,尼龍絲",台灣前三大尼龍粒廠商及前四大聚酯加工絲廠,
