符合條件商品
資料日期：2026年  6月 18日
策略,	.常用
"序號","代碼","商品","成交","漲幅%","總量","振幅","市值(億)","股本(億)","成交值(億)","推估獲利","蘭質","LPE","蘭值","有CB","W55","55高","55低","集保","評比值","大戶增比","人數降比","月增","年增","累增","投三","外三","TOTAL","55漲%","21跌%","產業","細產業","所有細產業",產業地位
79	,"1445.TW","大宇","11","-0.45","75","1.36","14","13.07","0.01","-0.5","5","121","4","0","0","0","1","0","0","-0.01","-0.07","132","-12","-24","0","-0","0","0","0.12","上市紡織纖維","織布業","化學纖維,聚酯加工絲,織布業",台灣專業的織布廠
80	,"1446.TW","宏和","16.7","-0.3","218","2.1","23","13.77","0.06","-0.33","9","15","60","0","1","0","0","0","0","-0.09","-0.35","23","-2","-58","0","0","0","0.13","0","上市紡織纖維","織布業","織布業,資產股,營建,地產",台灣知名的長短纖布廠
81	,"1447.TW","力鵬","6.03","-1.15","1596","1.96","56","91.01","0.07","-0.02","10","32","31","0","1","0","0","0","0","-0.08","-0.33","-50","-46","4","0","0","0","0.48","0","上市紡織纖維","尼龍粒","化學纖維,尼龍粒,織布業",力麗集團旗下，台灣知名尼龍粒大廠
82	,"1449.TW","佳和","14.05","-0.71","1044","3.25","18","12.71","0.16","-1.96","6","0","0","0","1","0","0","0","0","-0.06","5.29","-25","99","44","0","-0","0","0.53","0","上市紡織纖維","織布業","織布業,營建,地產",織布生產商，產品為先染及長纖織物
83	,"1451.TW","年興","16.75","-0.3","125","0.89","33","19.8","0.02","0.15","9","13","69","0","0","0","0","0","0","-0.05","-0.16","2","-19","1","0","0","0","0","0","上市紡織纖維","成衣製造","成衣,成衣製造,織布業",全球最大的牛仔成衣廠
84	,"1452.TW","宏益","11.15","0","180","3.21","15","13.26","0.02","-0.14","9","0","0","0","0","0","0","0","0","-0.18","-0.07","-18","15","2","0","0","0","0","0","上市紡織纖維","聚酯加工絲","化學纖維,聚酯加工絲",台灣專業的加工絲一貫廠
85	,"1453.TW","大將","11.8","-0.84","80","1.7","13","11.32","0.01","-0.13","3","0","0","0","1","0","0","0","0","-0.07","0.19","-1","1","1","0","0","0","0.11","0","上市建材營造","營建","營建,地產",主要經營營建開發及紡織買賣
86	,"1454.TW","台富","12.85","0.39","27","1.19","17","12.98","0.01","-0.4","2","0","0","0","0","0","0","0","0","0.01","-0.04","2","8","-20","0","0","0","0","0.13","上市紡織纖維","織布業","化學纖維,聚酯加工絲,織布業",台灣加工絲、織布一貫廠
87	,"1455.TW","集盛","10.2","3.87","4664","2.41","52","53.17","0.17","-0.13","8","0","0","0","1","0","0","0","0","0.29","-0.24","-9","-5","-21","0","-0","0","0.3","0","上市紡織纖維","尼龍粒","化學纖維,尼龍粒,尼龍加工絲,尼龍絲",台灣前三大尼龍粒廠商及前四大聚酯加工絲廠
88	,"1456.TW","怡華","15.5","2.31","186","7.9","14","9.37","0.04","-0.16","5","7","71","0","1","0","0","0","0","0.41","-0.21","-55","-69","1","0","0","0","0.28","0","上市建材營造","營建","營建,地產",元邦集團旗下，為綜合性紡織廠及營建商
89	,"1457.TW","宜進","14.3","-0.69","380","1.04","46","31.67","0.03","-0.13","9","17","53","0","0","0","0","0","0","0.02","0.08","-16","-9","-16","0","-0","0","0","0","上市紡織纖維","聚酯加工絲","化學纖維,聚酯絲,聚酯加工絲,織布業,資產股",台灣前五大加工絲廠之一
90	,"1459.TW","聯發","11.8","-0.42","36","0.85","42","35.86","0.01","0.03","4","83","5","0","1","0","0","0","0","0.11","-0.27","-13","-3","-24","0","0","0","0.06","0","上市紡織纖維","聚酯加工絲","化學纖維,聚酯加工絲",台灣十大聚酯加工絲廠之一
