符合條件商品
資料日期：2026年  6月 15日
策略,	.常用
"序號","代碼","商品","成交","漲幅%","總量","收盤價(06/15)","區間漲幅%","振幅","市值(億)","股本(億)","成交值(億)","推估獲利","蘭質","LPE","蘭值","有CB","W55","55高","55低","集保","評比值","大戶增比","人數降比","月增","年增","累增","投三","外三","TOTAL","55漲%","21跌%","產業","細產業","所有細產業",產業地位
57	,"1342.TW","八貫","116.5","0.87","912","115.5","0.87","6.38","90","7.8","3.53","2.29","7","15","47","0","1","1","0","0","0","0.78","2.36","-3","37","27","0","0.4","0.4","0.47","0","上市其他","塑膠皮布","塑膠皮布,塑化製品",台灣機能性皮布料及薄膜製造商
58	,"1402.TW","遠東新","28.55","3.63","40155","27.55","3.63","2.22","1475","535.29","4.94","0.64","6","11","55","0","1","0","0","0","0","0.56","-1.72","2","19","4","6","-8.1","-2.1","0.21","0","上市紡織纖維","聚酯粒","家居用品,寢具,化學纖維,聚酯絲,聚酯加工絲,聚酯棉,聚酯粒,化纖原料,PTA,成衣,成衣製造,成衣銷售/零售,織布業,棉紡業,紡紗,控股公司,資產股",全球前五大聚酯製造商，集團轉投資橫跨領域廣
59	,"1409.TW","新纖","26.9","5.7","15359","25.45","5.7","5.88","412","161.84","3.24","0.89","10","11","91","0","1","0","0","0","0","-0.08","0.75","7","35","9","-0","-0.3","-0.3","0.97","0","上市紡織纖維","聚酯粒","塑膠加工,塑化製品,化學纖維,聚酯絲,聚酯粒,資產股",新光集團旗下，台灣知名化纖廠
60	,"1410.TW","南染","24.6","-0.81","75","24.8","-0.81","4.03","15","6.2","0.03","-0.3","8","0","0","0","0","0","1","0","0","0.2","-0.21","-11","37","9","0","-0","0","0","0.15","上市紡織纖維","物業投資發展","IC封裝測試,地產,物業投資發展",轉型為不動產租賃業務
61	,"1413.TW","宏洲","9.43","-1.57","26","9.58","-1.57","1.46","10","13.21","0","-0.25","7","0","0","0","0","0","0","0","0","0","-0.07","-20","-16","-19","0","0","0","0","0","上市紡織纖維","聚酯絲","化學纖維,聚酯絲,聚酯粒",宜進入主，聚酯粒、聚酯絲與加工絲一貫廠
62	,"1414.TW","東和","17.25","0.29","198","17.2","0.29","2.68","34","19.8","0.04","-0.04","6","0","0","0","1","0","0","0","0","0.07","0.03","-1","11","-7","0","-0","0","0.3","0","上市紡織纖維","混紡紗","混紡紗,紡紗,資產股,地產,物業投資發展",棉混紡紗大廠
63	,"1416.TW","廣豐","11.1","-2.2","436","11.35","-2.2","3.17","21","18.53","0.08","-0.05","9","0","0","0","1","1","0","0","0","-0.61","-0.02","21","61","35","0","0","0","0.1","0.05","上市其他","應用軟體","資產股,軟體業,應用軟體",專注金融業應用系統開發
64	,"1417.TW","嘉裕","8.54","-0.58","156","8.59","-0.58","0.94","16","18.99","0.03","-0.23","9","0","0","0","0","0","0","0","0","-0.3","-0.02","-3","-10","17","0","0","0","0","0","上市紡織纖維","成衣銷售／零售","成衣,成衣製造,成衣銷售/零售",裕隆集團旗下，台灣知名男性西服供應商
65	,"1418.TW","東華","18.65","0.27","43","18.6","0.27","1.08","9","5.68","0.01","-1.55","3","0","0","0","1","0","0","0","0","0.02","-0.04","90","206","-36","0","-0","0","0.18","0","上市紡織纖維","亞克力棉","化學纖維,亞克力棉",台灣老牌的亞克力棉製造商
66	,"1419.TW","新紡","67.5","2.74","306","65.7","2.74","1.85","197","30","0.09","-0.06","6","194","3","0","1","0","0","0","0","0","-0.23","-5","2","30","-0","0","0","0.2","0","上市紡織纖維","織布業","成衣,成衣銷售/零售,織布業,資產股,地產,物業投資發展",新光集團旗下，平織布生產商，士林三寶之一
67	,"1423.TW","利華","44.8","-0.22","204","44.9","-0.22","2.11","45","9.96","0.32","-0.38","7","0","0","0","1","1","0","0","0","0.28","-0.03","47","18","4","0","-0","0","0.15","0","上市紡織纖維","毛紡","毛紡,紡紗,資產股",台灣第一大的專業毛條生產商
68	,"1432.TW","大魯閣","17.25","0","318","17.25","0","1.44","16","10.8","0.07","-2.38","1","0","0","0","1","0","0","0","0","-0.01","-0.17","-1","-39","-40","0","-0","0","0.09","0","上市運動休閒","大型遊樂場","流通業,百貨業,休閒娛樂,大型遊樂場",經營型娛樂購物中心事業
69	,"1434.TW","福懋","16.8","0.3","2316","16.75","0.3","1.5","282","168.47","0.34","0.08","8","47","17","0","1","0","0","0","0","0.1","-0.45","-3","6","-6","-0","0.4","0.4","0.16","0","上市紡織纖維","尼龍製品","加油站,其他公用事業,尼龍製品,尼龍塔夫塔布,工業紡織品",台塑集團旗下，台灣知名輪胎簾布製造商
70	,"1436.TW","華友聯","45.9","0.11","492","45.85","0.11","1.62","89","19.42","0.17","-1.15","4","0","0","1","0","0","0","0","0","-0.46","1.51","106","45","-48","0","-0","0","0","0.09","上市建材營造","營建","營建,地產",主打首購族及換屋族市場的建商
71	,"1437.TW","勤益控","29.55","-0.51","68","29.7","-0.51","0.67","60","20.19","0.03","0.03","6","27","22","0","0","0","0","0","0","0","-0.38","8","-1","-9","0","0","0","0","0","上市其他","物業投資發展","毛紡,紡紗,控股公司,資產股,地產,物業投資發展",投資控股公司，從事地產、紡織貿易及投資事業
72	,"1438.TW","三地開發","22.7","0.89","242","22.5","0.89","7.48","25","11.12","0.14","-0.01","6","6","100","1","0","0","0","0","0","-0.12","1.12","-91","0","161966","0","-0","0","0","0","上市建材營造","營建","營建,地產",開發以台南及高雄地區為主力的建商
73	,"1439.TW","雋揚","25.2","0.4","14","25.1","0.4","2.15","23","9.2","0","-0.17","1","176","1","0","0","0","0","0","0","0.1","-0.04","111","-38","-42","0","0","0","0","0.1","上市建材營造","營建","資產股,營建,地產,物業投資發展",國揚集團旗下，著重開發危老及都更計畫
74	,"1440.TW","南紡","13.25","0.76","1926","13.15","0.76","2.65","218","165.68","0.36","-0.18","7","0","0","0","0","0","0","0","0","0.07","-0.28","9","-13","-18","-0","0.1","0.1","0","0","上市紡織纖維","聚酯棉","化學纖維,聚酯絲,聚酯棉,聚酯粒,化纖原料,棉紡業,紡紗,資產股",台灣最大的聚酯棉與紡紗廠，並經營夢時代購物中心
75	,"1441.TW","大東","9.12","-0.76","40","9.19","-0.76","1.2","6","7.17","0.01","-0.57","3","0","0","0","0","0","0","0","0","0","-0.17","-29","-1","-18","0","-0","0","0","0.1","上市紡織纖維","棉紡業","織布業,棉紡業,紡紗,資產股",台灣主要棉紡生產企業
76	,"1442.TW","名軒","27.5","-1.08","209","27.8","-1.08","2.5","102","36.62","0.12","0.12","1","31","3","0","0","0","0","0","0","-0.18","1.92","168","-19","-70","0","-0","0","0","0","上市建材營造","營建","營建,地產",麗寶集團旗下成員
77	,"1443.TW","立益物流","27.9","1.27","24","27.55","1.27","2.25","37","13.53","0.01","0.34","8","14","57","0","1","0","0","0","0","0.06","-0.09","-2","-2","-8","0","0","0","0.32","0","上市其他","倉儲服務","流通業,貿易,倉儲服務,運輸事業,物流業",從事物流倉儲服務及經營房地產
78	,"1444.TW","力麗","7.04","-2.22","1510","7.2","-2.22","4.55","72","99.56","0.16","-0.04","8","0","0","0","1","0","0","0","0","0.28","-0.54","72","81","24","0","0.1","0.1","0.37","0","上市紡織纖維","聚酯加工絲","化學纖維,聚酯加工絲,聚酯粒",台灣聚酯加工絲龍頭廠
79	,"1445.TW","大宇","11","-0.45","99","11.05","-0.45","1.79","14","13.07","0.01","-0.5","5","121","4","0","0","0","1","0","0","-0.01","-0.07","132","-12","-24","0","-0","0","0","0.11","上市紡織纖維","織布業","化學纖維,聚酯加工絲,織布業",台灣專業的織布廠
